ID,Legacy ID,First Name,Last Name,Department,Average Rating,Number of Ratings,Average Difficulty,Would Take Again %,School Name,School ID,RMP URL
VGVhY2hlci0yODM4OTQ3,2838947,Philip,Solimine,Economics,4.0,8,2.9,75.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2838947
VGVhY2hlci0zMDI1Njgx,3025681,Yuveshen,Mooroogen,Mathematics,5.0,6,3.0,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3025681
VGVhY2hlci0yNzI3MTIw,2727120,Laura,Stirchak,Chemistry,4.9,187,3.0,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2727120
VGVhY2hlci0xNTcwMDA1,1570005,Louise,Longridge,Earth Science,2.6,57,3.6,31.1,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1570005
VGVhY2hlci0zMDMwODUy,3030852,Giuseppe,Genovese,Mathematics,1.1,10,4.0,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3030852
VGVhY2hlci04NDY1MQ==,84651,Tim,Inglis,Physical Ed,2.4,143,4.4,28.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/84651
VGVhY2hlci00MjM1Ng==,42356,Derek,Gates,Chemistry,2.6,141,3.7,13.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/42356
VGVhY2hlci0yNjY1Mjg0,2665284,Blaire,Steinwand,Biology,1.6,113,3.3,15.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2665284
VGVhY2hlci0yMzQwNTI1,2340525,Michael,Weaver,Political Science,3.2,73,2.9,53.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2340525
VGVhY2hlci01NTYzODc=,556387,Robert,Langill,Physical Ed,4.2,39,3.3,82.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/556387
VGVhY2hlci0zMDMzNTcz,3033573,Paige ,Jackson ,Kinesiology,1.4,10,3.8,10.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3033573
VGVhY2hlci01MzAwNA==,53004,Sarika,Bose,English,2.5,180,3.9,21.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/53004
VGVhY2hlci0yNDU4MTU0,2458154,Moss,Norman,Kinesiology,4.1,28,2.3,82.1,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2458154
VGVhY2hlci0yMjgxNDU5,2281459,Caitlin,Donnelly,Biology,4.6,27,2.7,92.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2281459
VGVhY2hlci0zOTY0Mzc=,396437,Mahesh,Nagarajan,Business,3.4,17,2.9,37.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/396437
VGVhY2hlci03MjAyNTg=,720258,Peter,Gouzouasis,Education,2.1,18,3.2,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/720258
