ID,Legacy ID,First Name,Last Name,Department,Average Rating,Number of Ratings,Average Difficulty,Would Take Again %,School Name,School ID,RMP URL
VGVhY2hlci0xNTM5ODY3,1539867,David,Klonsky,Psychology,4.5,39,2.5,94.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1539867
VGVhY2hlci0yMTU1NTQz,2155543,Beth,Volpov,Biology,2.2,33,3.8,27.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2155543
VGVhY2hlci04Mjg5NQ==,82895,Ian,Frigaard,Mathematics,2.6,32,4.0,85.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/82895
VGVhY2hlci0yMTk3MTU3,2197157,Talino,Bruno,Education,3.6,11,3.1,54.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2197157
VGVhY2hlci0yMjQxOTIz,2241923,Zorana,Svedic,Business,2.4,68,3.5,30.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2241923
VGVhY2hlci0yNDU4OTI=,245892,Mircea,Munteanu,Education,2.4,48,3.4,9.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/245892
VGVhY2hlci0yNDMwNzQw,2430740,Azim,Shariff,Psychology,4.7,46,3.3,93.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2430740
VGVhY2hlci0yNjM2MjY3,2636267,Renren,Yang,Asian Studies,4.3,42,3.3,76.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2636267
VGVhY2hlci0yMjExMTQ0,2211144,Elena,Pikulina,Finance,2.6,14,3.9,35.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2211144
VGVhY2hlci0yNjY3NDMy,2667432,Trevor,Sones,Business,3.7,6,3.3,66.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2667432
VGVhY2hlci01ODE5NzI=,581972,Alexandre,Korolev,Philosophy,3.3,93,2.8,48.1,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/581972
VGVhY2hlci00MTYxNTk=,416159,Colin,Brauner,Biology,4.6,37,3.0,86.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/416159
VGVhY2hlci0yNTQ1MDg4,2545088,Catherine,Prueitt,Philosophy,3.8,13,3.3,76.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2545088
VGVhY2hlci0yNjIwNDMy,2620432,Carla,Urquhart,Geography,4.5,6,3.3,83.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2620432
VGVhY2hlci0yODk0NTc1,2894575,Holly,Engstrom,Psychology,4.7,3,2.7,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2894575
VGVhY2hlci0yODIwMTEy,2820112,Peter,Harrington,Mathematics,5.0,53,2.7,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2820112
VGVhY2hlci0yOTM2MTAz,2936103,Anthea,Pun,Psychology,3.7,11,2.6,72.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2936103
VGVhY2hlci0yMzkzMjgz,2393283,Kathryn,Gretsinger,Journalism,1.0,7,4.1,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2393283
